route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,network_id
323,RTD,323,Skyline Crosstown,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1730,standard_fare_network
324,RTD,324,Main Street Crosstown,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1740,standard_fare_network
326,RTD,326,Westside Crosstown,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1760,standard_fare_network
327,RTD,327,Eastside Crosstown,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1770,standard_fare_network
35,RTD,35,Hampden Avenue,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,500,standard_fare_network
36,RTD,36,Fort Logan,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,520,standard_fare_network
37,RTD,37,Smith Road Industrial,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,545,standard_fare_network
38,RTD,38,West 38th Avenue,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,560,standard_fare_network
3L,RTD,3L,East Alameda Limited,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,80,standard_fare_network
4,RTD,4,Morrison Road,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,90,standard_fare_network
40,RTD,40,Colorado Boulevard,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,580,standard_fare_network
402L,RTD,402L,Highlands Ranch Parkway,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1810,standard_fare_network
42,RTD,42,Montbello via Albrook/GVR,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,600,standard_fare_network
43,RTD,43,Martin Luther King Blvd,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,610,standard_fare_network
44,RTD,44,44th Avenue,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,620,standard_fare_network
45,RTD,45,Montbello via 51st/GVR,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,640,standard_fare_network
46,RTD,46,South Dahlia,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,650,standard_fare_network
48,RTD,48,East 48th Avenue / Commerce City,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,680,standard_fare_network
483,RTD,483,Parker Road - Lincoln Ave,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1850,standard_fare_network
49,RTD,49,Denver/ Commerce City,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,690,standard_fare_network
51,RTD,51,Sheridan Blvd,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,720,standard_fare_network
52,RTD,52,W 52nd Avenue / South Bannock,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,740,standard_fare_network
520,RTD,520,Brighton,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1855,standard_fare_network
59,RTD,59,West Bowles,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,820,standard_fare_network
6,RTD,6,East 6th Avenue ,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,110,standard_fare_network
65,RTD,65,Monaco Parkway,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,890,standard_fare_network
66,RTD,66,Arapahoe Road,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,900,standard_fare_network
7,RTD,7,North Washington,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,120,standard_fare_network
72,RTD,72,72nd Avenue,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,950,standard_fare_network
73,RTD,73,Quebec Street,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,970,standard_fare_network
76,RTD,76,Wadsworth Blvd,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1010,standard_fare_network
8,RTD,8,North Broadway / Huron,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,140,standard_fare_network
83,RTD,83,Cherry Creek / Parker Rd Limited,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1110,standard_fare_network
88,RTD,88,Central Park/ 72nd Ave Station,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1150,standard_fare_network
88L,RTD,88L,Thornton/Commerce City Limited,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1160,standard_fare_network
9,RTD,9,West 10th Avenue,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,160,standard_fare_network
92,RTD,92,92nd Avenue,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1200,standard_fare_network
93L,RTD,93L,N Colorado Blvd Limited,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1205,standard_fare_network
99,RTD,99,South Kipling Street,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1210,standard_fare_network
A,RTD,A,Commuter Rail A-Line,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1,standard_fare_network
AB,RTD,AB,Boulder / Denver Airport,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1910,standard_fare_network
APFX,RTD,APFX,Arapahoe FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1921,standard_fare_network
ART,RTD,ART,Art District Connector,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1930,standard_fare_network
AT,RTD,AT,Arapahoe County / Denver Airport,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1940,standard_fare_network
BMFX,RTD,BMFX,Broomfield FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1972,standard_fare_network
BOLT,RTD,BOLT,Boulder / Longmont,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1995,standard_fare_network
BOND,RTD,BOND,30th Street,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2000,standard_fare_network
BRFX,RTD,BRFX,Brighton FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2005,standard_fare_network
BWFX,RTD,BWFX,Belleview FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2010,standard_fare_network
CCLX,RTD,CCLX,Comerce City Div Loop Extra,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2020,standard_fare_network
CV,RTD,CV,Pine Junction / Conifer / Denver,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2030,standard_fare_network
DASH,RTD,DASH,Boulder / Lafayette via Louisville,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2070,standard_fare_network
DLX,RTD,DLX,Denver Loop Extra,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2090,standard_fare_network
DRFX,RTD,DRFX,Dry Creek FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2105,standard_fare_network
ELX,RTD,ELX,Englewood Loop Extra,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2113,standard_fare_network
ESTS,RTD,ESTS,Bustang Estes Park Line,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2114,standard_fare_network
EV,RTD,EV,Evergreen / Denver,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2115,standard_fare_network
EVFX,RTD,EVFX,Evergreen FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2120,standard_fare_network
FF,RTD,FF,Flatiron Flyer,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2125,standard_fare_network
FFLX,RTD,FFLX,Flatiron Flyer Loop Extra,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2126,standard_fare_network
FHFX,RTD,FHFX,Federal Heights FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2128,standard_fare_network
FMR,RTD,FMR,Free MetroRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2130,standard_fare_network
FREE,RTD,FREE,16th Street FreeRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2140,standard_fare_network
GDFX,RTD,GDFX,Golden FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2150,standard_fare_network
GMFX,RTD,GMFX,Green Mountain FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2160,standard_fare_network
GS,RTD,GS,Golden / Boulder,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2170,standard_fare_network
ILFX,RTD,ILFX,Interlocken FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2215,standard_fare_network
JUMP,RTD,JUMP,Boulder / Lafayette/ Erie,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2230,standard_fare_network
LD,RTD,LD,Longmont / Denver,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2250,standard_fare_network
LGFX,RTD,LGFX,Longmont FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2312,standard_fare_network
LNFX,RTD,LNFX,Lone Tree FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2322,standard_fare_network
LNLX,RTD,LNLX,Trans Dev Longmont Loop Extra,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2323,standard_fare_network
LSFX,RTD,LSFX,Louisville FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2325,standard_fare_network
LX,RTD,LX,Longmont I-25 Express,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2255,standard_fare_network
MDFX,RTD,MDFX,Meridian FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2345,standard_fare_network
MLX,RTD,MLX,MOG Loop Extra,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2350,standard_fare_network
NB,RTD,NB,Boulder/ Nederland/ Eldora,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2360,standard_fare_network
NBFX,RTD,NBFX,North Broomfield FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2362,standard_fare_network
NIFX,RTD,NIFX,North Inverness FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2365,standard_fare_network
NLX,RTD,NLX,NOG Loop Extra,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2370,standard_fare_network
NRTH,RTD,NRTH,Bustang North Line,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2371,standard_fare_network
ORFX,RTD,ORFX,Orchard FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2372,standard_fare_network
PD,RTD,PD,Parker / Denver,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2380,standard_fare_network
PEGA,RTD,PEGA,Bustang Pegasus,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2382,standard_fare_network
PKFX,RTD,PKFX,Parker FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2385,standard_fare_network
PLFX,RTD,PLFX,Platte Valley FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2387,standard_fare_network
RX,RTD,RX,Brighton / Denver Express,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,5890,standard_fare_network
SHOP,RTD,SHOP,Shopper's Special,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,5920,standard_fare_network
SHUZ,RTD,SHUZ,Anschutz Shuttle,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,5921,standard_fare_network
SIFX,RTD,SIFX,South Inverness FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,5922,standard_fare_network
SJFX,RTD,SJFX,South Jeffco FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,5925,standard_fare_network
SKIP,RTD,SKIP,Broadway,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,5930,standard_fare_network
SNOW,RTD,SNOW,Bustang Snowstang,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,5975,standard_fare_network
SOUT,RTD,SOUT,Bustang South Line,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,5933,standard_fare_network
SPFX,RTD,SPFX,Superior FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,5935,standard_fare_network
TNFX,RTD,TNFX,Thornton/Northglenn FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,5955,standard_fare_network
WEST,RTD,WEST,Bustang West Line,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,5970,standard_fare_network
WGFX,RTD,WGFX,Wagon Road FlexRide,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,5980,standard_fare_network
bert,RTD,bert,bringing Englewood riders together,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1960,standard_fare_network
