route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
0,3,510921783,Union Station,,2,1316568,,
0,1,510921797,Union Station,,2,1316568,,
0,1,510921924,Englewood,,1,1316572,,
0,2,510921925,Englewood,,5,1316572,,
0,3,510921926,Englewood,,7,1316572,,
0,2,510922100,Union Station,,7,1316568,,
0,3,510922118,Union Station,,9,1316568,,
0,1,510922130,Union Station,,9,1316568,,
0,2,510922231,Englewood,,1,1316572,,
0,3,510922232,Englewood,,1,1316572,,
0,1,510922233,Englewood,,5,1316572,,
0,2,510922408,Union Station,,9,1316568,,
0,3,510922424,Union Station,,8,1316568,,
0,1,510922440,Union Station,,7,1316568,,
0,1,510922563,Englewood,,3,1316572,,
0,3,510922564,Englewood,,5,1316572,,
0,2,510922565,Englewood,,6,1316572,,
0,2,510922733,Union Station,,4,1316568,,
0,1,510922747,Union Station,,4,1316568,,
0,3,510922748,Union Station,,4,1316568,,
0,3,510922863,Englewood,,3,1316572,,
0,1,510922864,Englewood,,8,1316572,,
0,2,510922917,Englewood,,3,1316572,,
0,2,510923054,Union Station,,5,1316568,,
0,1,510923067,Union Station,,1,1316568,,
0,3,510923068,Union Station,,7,1316568,,
0,1,510923196,Englewood,,6,1316572,,
0,3,510923197,Englewood,,6,1316572,,
0,2,510923234,Englewood,,8,1316572,,
0,2,510923387,Union Station,,1,1316568,,
0,3,510923400,Union Station,,1,1316568,,
0,1,510923401,Union Station,,5,1316568,,
0,1,510923501,Englewood,,2,1316572,,
0,3,510923502,Englewood,,2,1316572,,
0,2,510923561,Englewood,,2,1316572,,
0,2,510923700,Union Station,,6,1316568,,
0,1,510923713,Union Station,,3,1316568,,
0,3,510923714,Union Station,,5,1316568,,
0,1,510923838,Englewood,,9,1316572,,
0,3,510923839,Englewood,,9,1316572,,
0,2,510923874,Englewood,,7,1316572,,
0,2,510924007,Union Station,,3,1316568,,
0,3,510924025,Union Station,,3,1316568,,
